           Time[sec]              Command             PortNo.0             PortNo.1             PortNo.2             PortNo.3 
        0.7700000000         0.0197132467         1.3941368236         1.3944191484         1.3940361771         1.4693042912 
        0.7750000000         0.0307791485         1.3966839240         1.3944191484         1.3914898717         1.3800955367 
        0.7800000000         0.0442818732         1.4043252250         1.3995117694         1.3991287878         1.2883379607 
        0.7850000000         0.0602080952         1.3941368236         1.3944191484         1.4067677040         1.2118733140 
        0.7900000000         0.0785420972         1.3966839240         1.3944191484         1.4067677040         1.1226645595 
        0.7950000000         0.0992657858         1.3966839240         1.3944191484         1.3965824825         1.0258093404 
        0.8000000000         0.1223587093         1.3941368236         1.3944191484         1.4067677040         0.9442470505 
        0.8050000000         0.1477980776         1.3966839240         1.3944191484         1.4042213986         0.8499406530 
        0.8100000000         0.1755587853         1.3915897233         1.3867802168         1.3991287878         0.7530854338 
        0.8150000000         0.2056134358         1.3941368236         1.3944191484         1.3914898717         0.6562302147 
        0.8200001000         0.2379330376         1.4017781247         1.3995117694         1.3914898717         0.5619238171 
        0.8250001000         0.2724844027         1.4017781247         1.4071507010         1.3965824825         0.4727150626 
        0.8300001000         0.3092340566         1.3966839240         1.3944191484         1.3965824825         0.3809574866 
        0.8350001000         0.3481457321         1.3941368236         1.3944191484         1.4042213986         0.2917487321 
        0.8400000000         0.3891801862         1.3941368236         1.3867802168         1.3965824825         0.1948935129 
        0.8450000000         0.4322985643         1.4068723253         1.3944191484         1.3940361771         0.0929406507 
        0.8500000000         0.4774575141         1.4017781247         1.3995117694         1.3965824825         0.0113783609 
        0.8550000000         0.5246124691         1.4017781247         1.3995117694         1.4042213986         0.0037318962 
        0.8600000000         0.5737168931         1.3941368236         1.3893265273         1.3965824825         1.1252133811 
        0.8650000000         0.6247223259         1.3864955226         1.3918728378         1.3991287878         4.9994221469 
        0.8700000000         0.6775784314         1.3941368236         1.3944191484         1.3914898717         4.9458968942 
        0.8750000000         0.7322330470         1.3966839240         1.3995117694         1.3965824825         4.8541393182 
        0.8800000000         0.7886322352         1.3941368236         1.3918728378         1.4118603148         4.7776746715 
        0.8850000000         0.8467203367         1.3941368236         1.3944191484         1.4042213986         4.6910147386 
        0.8900000000         0.9064400256         1.3941368236         1.3918728378         1.3940361771         4.5865130548 
        0.8950000000         0.9677323659         1.3966839240         1.3944191484         1.4042213986         4.5176948727 
        0.9000000000         1.0305368693         1.3992310243         1.4046043904         1.3991287878         4.4233884751 
        0.9050000000         1.0947915554         1.3941368236         1.4020580799         1.4067677040         4.3469238284 
        0.9100000000         1.1604330126         1.3864955226         1.3893265273         1.3991287878         4.2577150740 
        0.9150000000         1.2273964606         1.3864955226         1.3893265273         1.3965824825         4.1761527842 
        0.9200000000         1.2956158147         1.3992310243         1.4096970115         1.3991287878         4.0920416728 
        0.9250000000         1.3650237507         1.3966839240         1.3893265273         1.3965824825         4.0130282045 
        0.9300000000         1.4355517711         1.3941368236         1.3944191484         1.3889435663         3.9263682716 
        0.9350000000         1.5071302734         1.3941368236         1.3944191484         1.3991287878         3.8550012680 
        0.9400000000         1.5796886183         1.4043252250         1.3995117694         1.3965824825         3.7810854429 
        0.9450001000         1.6531566773         1.4017781247         1.3918728378         1.4042213986         3.7020719747 
        0.9500001000         1.7274590080         1.3966839240         1.3918728378         1.4042213986         3.6332537926 
        0.9550001000         1.8025237433         1.3966839240         1.3918728378         1.4067677040         3.5567891459 
        0.9600001000         1.8782768035         1.3915897233         1.3842339063         1.3991287878         3.4752268561 
        0.9650000000         1.9546418965         1.4017781247         1.3969654589         1.4042213986         3.4038598526 
        0.9700000000         2.0315467135         1.3941368236         1.3995117694         1.3940361771         3.3146510981 
        0.9750000000         2.1089138374         1.3966839240         1.3995117694         1.3991287878         3.2458329160 
        0.9800000000         2.1866669161         1.3839484223         1.3893265273         1.4067677040         3.1846611987 
        0.9850000000         2.2647292167         1.4043252250         1.4020580799         1.3914898717         3.0980012658 
        0.9900000000         2.3430237012         1.3890426230         1.3893265273         1.3991287878         3.0342807269 
        0.9950000000         2.4214731023         1.3992310243         1.3944191484         1.4042213986         2.9705601879 
        1.0000000000         2.5000000000         1.3966839240         1.3944191484         1.4042213986         2.9068396490 
        1.0050000000         2.5785268977         1.3890426230         1.3893265273         1.3991287878         2.8380214670 
        1.0100001000         2.6569778665         1.3966839240         1.3969654589         1.3787583447         2.7666544634 
        1.0150000000         2.7352707833         1.4068723253         1.3995117694         1.3965824825         2.7131292107 
        1.0200001000         2.8133346423         1.3992310243         1.3944191484         1.3889435663         2.6723480658 
        1.0250000000         2.8910861626         1.3712129206         1.3918728378         1.3991287878         2.6366645640 
        1.0300000000         2.9684532865         1.3966839240         1.3893265273         1.3991287878         2.6213716347 
        1.0350000000         3.0453581035         1.3941368236         1.3893265273         1.3889435663         2.5984322407 
        1.0400000000         3.1217247179         1.4043252250         1.3995117694         1.3813046501         2.5805904898 
        1.0450000000         3.1974777651         1.4170607267         1.4020580799         1.4016750932         2.5780416682 
        1.0500000000         3.2725424859         1.3992310243         1.3867802168         1.4093140094         2.5831393114 
        1.0550000000         3.3468448006         1.3992310243         1.3867802168         1.4118603148         2.5856881329 
        1.0600000000         3.4203113817         1.3966839240         1.3765949747         1.3940361771         2.5831393114 
        1.0650000000         3.4928697266         1.3941368236         1.3816875958         1.4042213986         2.6035298838 
        1.0700000000         3.5644482289         1.4017781247         1.3893265273         1.4042213986         2.6035298838 
        1.0750000000         3.6349762493         1.3814013219         1.3918728378         1.3940361771         2.6213716347 
        1.0800000000         3.7043841853         1.3890426230         1.3969654589         1.4042213986         2.6392133856 
        1.0850000000         3.7726035394         1.4043252250         1.3918728378         1.4144066202         2.6672504227 
        1.0900000000         3.8395669874         1.3864955226         1.3893265273         1.4093140094         2.6901898167 
        1.0950000000         3.9052084446         1.3915897233         1.3995117694         1.4067677040         2.7182268539 
        1.1000000000         3.9694631307         1.3814013219         1.3969654589         1.4042213986         2.7462638910 
        1.1050000000         4.0322676341         1.3864955226         1.3944191484         1.4042213986         2.7768497497 
        1.1100000000         4.0935599744         1.3814013219         1.3969654589         1.3940361771         2.8074356083 
        1.1150000000         4.1532796633         1.3915897233         1.3918728378         1.3965824825         2.8431191101 
        1.1200000000         4.2113677648         1.3915897233         1.3995117694         1.3889435663         2.8889978981 
        1.1250000000         4.2677669530         1.3992310243         1.4096970115         1.3965824825         2.9272302215 
        1.1300000000         4.3224215686         1.3992310243         1.3944191484         1.3965824825         2.9756578311 
        1.1350001000         4.3752787129         1.3890426230         1.3918728378         1.4042213986         3.0215366191 
        1.1400000000         4.4262831069         1.3864955226         1.3969654589         1.3965824825         3.0776106933 
        1.1450001000         4.4753884937         1.3890426230         1.3918728378         1.4042213986         3.1387824107 
        1.1500000000         4.5225424859         1.4068723253         1.3918728378         1.4042213986         3.1974053065 
        1.1550001000         4.5677023186         1.4145136264         1.3944191484         1.4042213986         3.2560282023 
        1.1600000000         4.6108198138         1.3941368236         1.3944191484         1.3991287878         3.3044558118 
        1.1650000000         4.6518550675         1.3992310243         1.4020580799         1.3965824825         3.3681763508 
        1.1700000000         4.6907667001         1.4017781247         1.3944191484         1.4042213986         3.4471898190 
        1.1750000000         4.7275163105         1.3915897233         1.3918728378         1.4042213986         3.5007150717 
        1.1800000000         4.7620676312         1.3864955226         1.3867802168         1.3965824825         3.5924726477 
        1.1850000000         4.7943865642         1.4119665260         1.3944191484         1.3914898717         3.6510955435 
        1.1900000000         4.8244412147         1.3941368236         1.3944191484         1.3914898717         3.7199137256 
        1.1950000000         4.8522019224         1.3992310243         1.3995117694         1.3991287878         3.7989271938 
        1.2000000000         4.8776412907         1.4017781247         1.3995117694         1.3991287878         3.8728430189 
        1.2050000000         4.9007342142         1.3966839240         1.3944191484         1.4067677040         3.9646005950 
        1.2100000000         4.9214579028         1.3966839240         1.3944191484         1.4042213986         4.0461628848 
        1.2150000000         4.9397919048         1.3966839240         1.3944191484         1.4042213986         4.1302739961 
        1.2200000000         4.9557181268         1.3890426230         1.3893265273         1.4042213986         4.2169339291 
        1.2250000000         4.9692208515         1.3966839240         1.3969654589         1.3940361771         4.2959473973 
        1.2300000000         4.9802867533         1.3992310243         1.3995117694         1.3991287878         4.3877049734 
        1.2350000000         4.9889049115         1.3966839240         1.3944191484         1.3940361771         4.4718160847 
        1.2400000000         4.9950668211         1.4043252250         1.3995117694         1.3965824825         4.5686713039 
        1.2450000000         4.9987664009         1.3966839240         1.3944191484         1.3940361771         4.6553312368 
        1.2500000000         5.0000000000         1.3966839240         1.3944191484         1.4042213986         4.7623817422 
        1.2550000000         4.9987664009         1.4017781247         1.3995117694         1.3965824825         4.8515904966 
