           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        3.4750000000         1.5000000000         0.7109552427         0.2461643533       -13.1066288434 
        3.4800000000         1.5000000000         0.7007594367         0.1748033218       -13.3722264308 
        3.4850000000         1.5000000000         0.7058573397         0.1289283730       -13.2394276371 
        3.4900000000         1.5000000000         0.7007594367         0.0703103829       -13.3722264308 
        3.4950000000         1.5000000000         0.7058573397         0.0244354341       -13.2394276371 
        3.5000000000         1.5000000000         0.7084062912        -0.0010506486       -13.1730282402 
        3.5050000000         1.5000000000         0.7007594367        -0.0061478651       -13.3722264308 
        3.5100000000         1.5000000000         0.7033083882         1.1050453394       -13.3058270340 
        3.5150001000         1.5000000000         0.7109552427         4.9661868644       -13.1066288434 
        3.5200000000         1.5000000000         0.7033083882         4.9942215554       -13.3058270340 
        3.5250000000         1.5000000000         0.7058573397         4.9916729471       -13.2394276371 
        3.5300000000         1.5000000000         0.7033083882         4.9585410396       -13.3058270340 
        3.5350001000         1.5000000000         0.7058573397         4.9126660908       -13.2394276371 
        3.5400000000         1.5000000000         0.7033083882         4.8565967089       -13.3058270340 
        3.5450022000         1.5000000000         0.7007594367         4.8107217601       -13.3722264308 
        3.5500001000         1.5000000000         0.7109552427         4.7546523783       -13.1066288434 
        3.5550001000         1.5000000000         0.7109552427         4.6960343881       -13.1066288434 
        3.5600000000         1.5000000000         0.7084062912         4.6476108310       -13.1730282402 
        3.5650001000         1.5000000000         0.7058573397         4.5864442326       -13.2394276371 
        3.5700000000         1.5000000000         0.7058573397         4.5354720673       -13.2394276371 
        3.5750001000         1.5000000000         0.7058573397         4.4895971185       -13.2394276371 
        3.5800000000         1.5000000000         0.7007594367         4.4258819118       -13.3722264308 
        3.5850000000         1.5000000000         0.7033083882         4.3825555712       -13.3058270340 
        3.5900000000         1.5000000000         0.7007594367         4.3188403645       -13.3722264308 
        3.5950000000         1.5000000000         0.7084062912         4.2729654157       -13.1730282402 
        3.6000000000         1.5000000000         0.7109552427         4.2245418586       -13.1066288434 
        3.6050000000         1.5000000000         0.7007594367         4.1633752602       -13.3722264308 
        3.6100000000         1.5000000000         0.6931125823         4.1047572701       -13.5714246215 
        3.6150000000         1.5000000000         0.6931125823         4.0537851047       -13.5714246215 
        3.6200000000         1.5000000000         0.6931125823         3.9926185063       -13.5714246215 
        3.6250000000         1.5000000000         0.7007594367         3.9492921658       -13.3722264308 
        3.6300000000         1.5000000000         0.6982104853         3.8906741756       -13.4386258277 
        3.6350000000         1.5000000000         0.6956615338         3.8397020103       -13.5050252246 
        3.6400001000         1.5000000000         0.7007594367         3.7989242780       -13.3722264308 
        3.6450000000         1.5000000000         0.7033083882         3.7505007209       -13.3058270340 
        3.6500000000         1.5000000000         0.7007594367         3.6944313390       -13.3722264308 
        3.6550000000         1.5000000000         0.7033083882         3.6409105654       -13.3058270340 
        3.6600001000         1.5000000000         0.6905636308         3.5771953587       -13.6378240183 
        3.6650000000         1.5000000000         0.6905636308         3.5236745851       -13.6378240183 
        3.6700000000         1.5000000000         0.6931125823         3.4777996363       -13.5714246215 
        3.6750001000         1.5000000000         0.6982104853         3.4191816462       -13.4386258277 
        3.6800001000         1.5000000000         0.7007594367         3.3733066974       -13.3722264308 
        3.6850000000         1.5000000000         0.6905636308         3.3146887072       -13.6378240183 
        3.6900001000         1.5000000000         0.6982104853         3.2739109749       -13.4386258277 
        3.6950000000         1.5000000000         0.7007594367         3.2254874178       -13.3722264308 
        3.7000001000         1.5000000000         0.6905636308         3.1566749946       -13.6378240183 
        3.7050000000         1.5000000000         0.7033083882         3.1209944789       -13.3058270340 
        3.7100000000         1.5000000000         0.6982104853         3.0623764887       -13.4386258277 
        3.7150000000         1.5000000000         0.7033083882         3.0088557151       -13.3058270340 
        3.7200000000         1.5000000000         0.7033083882         2.9655293746       -13.3058270340 
        3.7250000000         1.5000000000         0.7007594367         2.9069113844       -13.3722264308 
        3.7300000000         1.5000000000         0.6931125823         2.8584878274       -13.5714246215 
