           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.4900001000         0.7800000000         1.7636722064        14.3167723554         2.2055553208 
        1.4950001000         0.7800000000         1.8044554301        15.3791627053         2.2888248865 
        1.5000000000         0.7800000000         1.7713190608        14.5159705460         2.3688917766 
        1.5050000000         0.7800000000         1.8044554301        15.3791627053         2.4425533155 
        1.5100001000         0.7800000000         1.7840638182        14.8479675303         2.5098095032 
        1.5150000000         0.7800000000         1.7917106727        15.0471657209         2.5930790689 
        1.5200001000         0.7800000000         1.8044554301        15.3791627053         2.6699432834 
        1.5250001000         0.7800000000         1.7840638182        14.8479675303         2.7436048223 
        1.5300001000         0.7800000000         1.7968085757        15.1799645147         2.8140636855 
        1.5350000000         0.7800000000         1.7942596242        15.1135651178         2.9005359268 
        1.5400001000         0.7800000000         1.7968085757        15.1799645147         2.9677921145 
        1.5450000000         0.7800000000         1.7917106727        15.0471657209         3.0446563290 
        1.5500001000         0.7800000000         1.7815148668        14.7815681335         3.1119125167 
        1.5550763000         0.7800000000         1.7993575272        15.2463639116         3.1439392727 
        1.5600001000         0.7800000000         1.7866127697        14.9143669272         3.1471419483 
        1.5650000000         0.7800000000         1.8070043816        15.4455621022        -1.7497490499 
        1.5700000000         0.7800000000         1.7942596242        15.1135651178        -3.1461156132 
        1.5750000000         0.7800000000         1.7840638182        14.8479675303        -3.1333049108 
        1.5800001000         0.7800000000         1.8070043816        15.4455621022        -3.0916701279 
        1.5850001000         0.7800000000         1.7993575272        15.2463639116        -3.0084005622 
        1.5900001000         0.7800000000         1.8044554301        15.3791627053        -2.9283336721 
        1.5950000000         0.7800000000         1.7968085757        15.1799645147        -2.8642801600 
        1.6000000000         0.7800000000         1.8146512361        15.6447602928        -2.7778079187 
        1.6050000000         0.7800000000         1.7993575272        15.2463639116        -2.7009437042 
        1.6100001000         0.7800000000         1.8044554301        15.3791627053        -2.6272821653 
        1.6150001000         0.7800000000         1.8095533331        15.5119614990        -2.5408099240 
        1.6200001000         0.7800000000         1.8146512361        15.6447602928        -2.4863644388 
        1.6250000000         0.7800000000         1.8019064786        15.3127633084        -2.3998921975 
        1.6300000000         0.7800000000         1.8044554301        15.3791627053        -2.3230279830 
        1.6350001000         0.7800000000         1.8070043816        15.4455621022        -2.2365557417 
        1.6400000000         0.7800000000         1.8172001876        15.7111596896        -2.1692995540 
        1.6450001000         0.7800000000         1.8019064786        15.3127633084        -2.1052460419 
        1.6500001000         0.7800000000         1.7840638182        14.8479675303        -2.0283818274 
        1.6550001000         0.7800000000         1.8146512361        15.6447602928        -1.9451122617 
        1.6600000000         0.7800000000         1.8121022846        15.5783608959        -1.8650453716 
        1.6650001000         0.7800000000         1.8146512361        15.6447602928        -1.7881811571 
        1.6700000000         0.7800000000         1.8070043816        15.4455621022        -1.7241276451 
        1.6750001000         0.7800000000         1.7942596242        15.1135651178        -1.6472634306 
        1.6800001000         0.7800000000         1.8146512361        15.6447602928        -1.5800072429 
        1.6850001000         0.7800000000         1.8044554301        15.3791627053        -1.4871296504 
        1.6900000000         0.7800000000         1.8222980905        15.8439584834        -1.4102654359 
        1.6950000000         0.7800000000         1.8095533331        15.5119614990        -1.3430092482 
        1.7000000000         0.7800000000         1.8172001876        15.7111596896        -1.2661450337 
        1.7050001000         0.7800000000         1.8146512361        15.6447602928        -1.1892808192 
        1.7100001000         0.7800000000         1.8070043816        15.4455621022        -1.1124166047 
        1.7150001000         0.7800000000         1.8121022846        15.5783608959        -1.0419577415 
        1.7200000000         0.7800000000         1.8095533331        15.5119614990        -0.9714988782 
        1.7250000000         0.7800000000         1.8248470420        15.9103578803        -0.8850266369 
        1.7300000000         0.7800000000         1.8222980905        15.8439584834        -0.8177704492 
        1.7350001000         0.7800000000         1.8044554301        15.3791627053        -0.7441089103 
        1.7400001000         0.7800000000         1.8146512361        15.6447602928        -0.6704473714 
        1.7450001000         0.7800000000         1.7993575272        15.2463639116        -0.6031911837 
        1.7500001000         0.7800000000         1.8172001876        15.7111596896        -0.5295296448 
        1.7550000000         0.7800000000         1.8070043816        15.4455621022        -0.4494627547 
        1.7600001000         0.7800000000         1.8273959935        15.9767572771        -0.3565851622 
        1.7650000000         0.7800000000         1.7942596242        15.1135651178        -0.2925316502 
        1.7700001000         0.7800000000         1.8172001876        15.7111596896        -0.2252754625 
        1.7750001000         0.7800000000         1.8044554301        15.3791627053        -0.1356005456 
        1.7800001000         0.7800000000         1.8197491390        15.7775590865        -0.0555336555 
        1.7850000000         0.7800000000         1.8121022846        15.5783608959         0.0181278834 
        1.7900001000         0.7800000000         1.8222980905        15.8439584834         0.0917894223 
        1.7950000000         0.7800000000         1.8044554301        15.3791627053         0.1462349076 
        1.8000001000         0.7800000000         1.8121022846        15.5783608959         0.2230991221 
        1.8050001000         0.7800000000         1.8019064786        15.3127633084         0.3031660121 
        1.8100001000         0.7800000000         1.8070043816        15.4455621022         0.3896382535 
        1.8150000000         0.7800000000         1.8121022846        15.5783608959         0.4568944411 
        1.8200000000         0.7800000000         1.8070043816        15.4455621022         0.5305559800 
        1.8250000000         0.7800000000         1.8172001876        15.7111596896         0.6138255457 
