           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.3600000000         3.3200000000         1.6311267291        10.9083585153        -0.6320152642 
        0.3650000000         3.3200000000         1.6209309231        10.6427609278        -0.5775697789 
        0.3700000000         3.3200000000         1.6336756806        10.9747579122        -0.5231242936 
        0.3750000000         3.3200000000         1.6311267291        10.9083585153        -0.4622734572 
        0.3800000000         3.3200000000         1.6387735836        11.1075567059        -0.4110306475 
        0.3850000000         3.3200000000         1.6362246321        11.0411573090        -0.3501798110 
        0.3900000000         3.3200000000         1.6464204380        11.3067548965        -0.2989370014 
        0.3950000000         3.3200000000         1.6234798746        10.7091603247        -0.2573022185 
        0.4000000000         3.3200000000         1.6489693895        11.3731542934        -0.1868433552 
        0.4050000000         3.3200000000         1.6413225350        11.1739561028        -0.1356005456 
        0.4100000000         3.3200000000         1.6413225350        11.1739561028        -0.0875604115 
        0.4150001000         3.3200000000         1.6387735836        11.1075567059        -0.0299122506 
        0.4200001000         3.3200000000         1.6540672925        11.5059530871         0.0149252078 
        0.4250000000         3.3200000000         1.6489693895        11.3731542934         0.0821813955 
        0.4300000000         3.3200000000         1.6285777776        10.8419591184         0.1174108271 
        0.4350000000         3.3200000000         1.6668120499        11.8379500715         0.1878696904 
        0.4400000000         3.3200000000         1.6234798746        10.7091603247         0.2423151757 
        0.4450000000         3.3200000000         1.6566162440        11.5723524840         0.2871526341 
        0.4500000000         3.3200000000         1.6311267291        10.9083585153         0.3415981194 
        0.4550000000         3.3200000000         1.6438714865        11.2403554996         0.3992462803 
        0.4600000000         3.3200000000         1.6387735836        11.1075567059         0.4536917655 
        0.4650000000         3.3200000000         1.6642630984        11.7715506746         0.5145426020 
        0.4700000000         3.3200000000         1.6107351172        10.3771633403         0.5529747092 
        0.4750001000         3.3200000000         1.6540672925        11.5059530871         0.6106228701 
        0.4800001000         3.3200000000         1.6362246321        11.0411573090         0.6714737066 
        0.4850000000         3.3200000000         1.6387735836        11.1075567059         0.7099058138 
        0.4900000000         3.3200000000         1.6387735836        11.1075567059         0.7771620015 
        0.4950000000         3.3200000000         1.6464204380        11.3067548965         0.8252021356 
        0.5000000000         3.3200000000         1.6464204380        11.3067548965         0.8892556476 
        0.5050000000         3.3200000000         1.6183819717        10.5763615309         0.9437011329 
        0.5100000000         3.3200000000         1.6566162440        11.5723524840         0.9885385914 
        0.5150000000         3.3200000000         1.6234798746        10.7091603247         1.0461867522 
        0.5200000000         3.3200000000         1.6464204380        11.3067548965         1.0942268863 
        0.5250000000         3.3200000000         1.6387735836        11.1075567059         1.1742937764 
        0.5300000000         3.3200000000         1.6413225350        11.1739561028         1.2191312348 
        0.5350000000         3.3200000000         1.6362246321        11.0411573090         1.2799820713 
        0.5400000000         3.3200000000         1.6617141469        11.7051512777         1.3376302322 
        0.5450000000         3.3200000000         1.6132840687        10.4435627372         1.3728596638 
        0.5500000000         3.3200000000         1.6311267291        10.9083585153         1.4369131759 
        0.5550000000         3.3200000000         1.6311267291        10.9083585153         1.4913586612 
        0.5600000000         3.3200000000         1.6285777776        10.8419591184         1.5361961196 
        0.5650000000         3.3200000000         1.6336756806        10.9747579122         1.5874389293 
        0.5700001000         3.3200000000         1.6234798746        10.7091603247         1.6450870902 
        0.5750001000         3.3200000000         1.6260288261        10.7755597215         1.6995325754 
        0.5800001000         3.3200000000         1.6362246321        11.0411573090         1.7539780607 
        0.5850000000         3.3200000000         1.6387735836        11.1075567059         1.8084235459 
        0.5900000000         3.3200000000         1.6387735836        11.1075567059         1.8596663556 
        0.5950000000         3.3200000000         1.6158330202        10.5099621341         1.9109091653 
        0.6000000000         3.3200000000         1.6183819717        10.5763615309         1.9621519749 
        0.6050000000         3.3200000000         1.6413225350        11.1739561028         2.0198001358 
        0.6100000000         3.3200000000         1.6158330202        10.5099621341         2.0934616747 
        0.6150000000         3.3200000000         1.6387735836        11.1075567059         2.1350964575 
        0.6200000000         3.3200000000         1.6234798746        10.7091603247         2.1863392672 
        0.6250000000         3.3200000000         1.6489693895        11.3731542934         2.2439874281 
        0.6300000000         3.3200000000         1.6081861657        10.3107639435         2.2952302377 
        0.6350000000         3.3200000000         1.6107351172        10.3771633403         2.3528783986 
        0.6400000000         3.3200000000         1.6362246321        11.0411573090         2.3945131814 
        0.6450000000         3.3200000000         1.6234798746        10.7091603247         2.4585666935 
        0.6500000000         3.3200000000         1.6362246321        11.0411573090         2.5130121788 
        0.6550000000         3.3200000000         1.6158330202        10.5099621341         2.5674576641 
        0.6600000000         3.3200000000         1.6387735836        11.1075567059         2.6154977981 
