           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.1900000000        -0.6979444182         0.7874237873       -11.0933472350         2.3240543182 
        1.1950000000        -0.6988560890         0.8027174962       -10.6949508538         2.2600008061 
        1.2000001000        -0.6995026411         0.8231091081       -10.1637556788         2.2151633476 
        1.2050000000        -0.6998837985         0.8205601566       -10.2301550757         2.1671232136 
        1.2100000000        -0.6999994473         0.7797769328       -11.2925454256         2.0998670259 
        1.2150000000        -0.6998495334         0.8078153991       -10.5621520600         2.0582322430 
        1.2200000000        -0.6994341137         0.7874237873       -11.0933472350         1.9973814066 
        1.2250000000        -0.6987533457         0.7721300783       -11.4917436162         1.9365305701 
        1.2300001000        -0.6978074662         0.8052664477       -10.6285514569         1.8916931116 
        1.2350000000        -0.6965968987         0.8052664477       -10.6285514569         1.8436529776 
        1.2400000000        -0.6951220377         0.7517384665       -12.0229387911         1.7763967899 
        1.2450000000        -0.6933834645         0.7925216902       -10.9605484412         1.7315593315 
        1.2500000000        -0.6913818384         0.7772279813       -11.3589448224         1.6867218730 
        1.2550000000        -0.6891179190         0.7746790298       -11.4253442193         1.6290737121 
        1.2600001000        -0.6865925119         0.7848748358       -11.1597466318         1.5746282269 
        1.2650001000        -0.6838066763         0.7899727387       -11.0269478381         1.5169800660 
        1.2700001000        -0.6807614211         0.7517384665       -12.0229387911         1.4593319051 
