           Time[sec]          ao1_Vcmd[V]         ai2_Vgyro[V]        ai3_Vpoten[V]         Wgyro[rad/s] 
        3.4900000000         5.0000000000         2.1154275114         4.6654510889        23.4794388317 
        3.4950000000         5.0000000000         2.1077806570         4.7572009865        23.2802406411 
        3.5000000000         5.0000000000         2.1128785599         4.8540481007        23.4130394348 
        3.5050000000         5.0000000000         2.1205254144         4.9610896479        23.6122376254 
        3.5100000000         5.0000000000         2.1179764629         5.0018673802        23.5458382285 
        3.5150001000         5.0000000000         2.1179764629         1.1126911642        23.5458382285 
        3.5200001000         5.0000000000         2.1179764629        -0.0010506486        23.5458382285 
        3.5250000000         5.0000000000         2.1154275114         0.0269840423        23.4794388317 
        3.5300000000         5.0000000000         2.1179764629         0.1212825482        23.5458382285 
        3.5350001000         5.0000000000         2.1128785599         0.2206782707        23.4130394348 
        3.5400000000         5.0000000000         2.1230743659         0.3200739931        23.6786370223 
        3.5450000000         5.0000000000         2.1103296084         0.3990808494        23.3466400379 
        3.5500001000         5.0000000000         2.1052317055         0.4984765718        23.2138412442 
        3.5550001000         5.0000000000         2.1128785599         0.5953236860        23.4130394348 
        3.5600000000         5.0000000000         2.1077806570         0.6794277588        23.2802406411 
        3.5650001000         5.0000000000         2.1256233174         0.7839206977        23.7450364191 
        3.5700000000         5.0000000000         2.1205254144         0.8680247706        23.6122376254 
        3.5750001000         5.0000000000         2.1205254144         0.9623232765        23.6122376254 
        3.5800000000         5.0000000000         2.1128785599         1.0489759575        23.4130394348 
        3.5850000000         5.0000000000         2.1154275114         1.1458230717        23.4794388317 
        3.5900000000         5.0000000000         2.1179764629         1.2273785363        23.5458382285 
        3.5950000000         5.0000000000         2.1205254144         1.3216770421        23.6122376254 
        3.6000000000         5.0000000000         2.1230743659         1.4057811150        23.6786370223 
        3.6050000000         5.0000000000         2.1205254144         1.4975310126        23.6122376254 
        3.6100000000         5.0000000000         2.1128785599         1.5892809102        23.4130394348 
        3.6150000000         5.0000000000         2.1103296084         1.6784821996        23.3466400379 
        3.6200000000         5.0000000000         2.1179764629         1.7804265303        23.5458382285 
        3.6250000000         5.0000000000         2.1179764629         1.8670792114        23.5458382285 
        3.6300000000         5.0000000000         2.1179764629         1.9613777172        23.5458382285 
        3.6350000000         5.0000000000         2.1103296084         2.0505790066        23.3466400379 
        3.6400001000         5.0000000000         2.0899379966         2.1295858629        22.8154448630 
        3.6450001000         5.0000000000         2.1001338025         2.2162385440        23.0810424504 
        3.6500000000         5.0000000000         2.1179764629         2.3156342664        23.5458382285 
        3.6550000000         5.0000000000         2.1103296084         2.3997383392        23.3466400379 
        3.6600001000         5.0000000000         2.1205254144         2.4965854534        23.6122376254 
        3.6650000000         5.0000000000         2.1026827540         2.5832381345        23.1474418473 
        3.6700000000         5.0000000000         2.1052317055         2.6851824652        23.2138412442 
        3.6750001000         5.0000000000         2.0975848510         2.7616407132        23.0146430536 
        3.6800001000         5.0000000000         2.1077806570         2.8508420026        23.2802406411 
        3.6850000000         5.0000000000         2.1103296084         2.9476891167        23.3466400379 
        3.6900001000         5.0000000000         2.1103296084         3.0317931895        23.3466400379 
        3.6950000000         5.0000000000         2.1230743659         3.1362861285        23.6786370223 
