           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        1.7800001000         4.1000000000         1.9446477619         3.6867855142        19.0306792414 
        1.7850000000         4.1000000000         1.9268051015         3.7479521127        18.5658834633 
        1.7900001000         4.1000000000         1.9370009074         3.8371534020        18.8314810508 
        1.7950000000         4.1000000000         1.9217071985         3.8932227839        18.4330846696 
        1.8000000000         4.1000000000         1.9242561500         3.9722296402        18.4994840665 
        1.8050000000         4.1000000000         1.9319030044         4.0537851047        18.6986822571 
        1.8100000000         4.1000000000         1.9268051015         4.1200489197        18.5658834633 
        1.8150000000         4.1000000000         1.9344519559         4.1939585594        18.7650816539 
        1.8200000000         4.1000000000         1.9446477619         4.2729654157        19.0306792414 
        1.8250000000         4.1000000000         1.9319030044         4.3392292307        18.6986822571 
        1.8300000000         4.1000000000         1.9395498589         4.4156874787        18.8978804477 
        1.8350000000         4.1000000000         1.9395498589         4.4972429433        18.8978804477 
        1.8400000000         4.1000000000         1.9446477619         4.5762497995        19.0306792414 
        1.8450000000         4.1000000000         1.9446477619         4.6476108310        19.0306792414 
        1.8500000000         4.1000000000         1.9471967133         4.7189718625        19.0970786383 
        1.8550000000         4.1000000000         1.9471967133         4.8056245436        19.0970786383 
