           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.4600000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.4650007000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
        0.4700000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        0.4750000000         2.5000000000         1.2130986854        31.6008450925         1.5714255513 
        0.4800000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.4850000000         2.5000000000         1.2181965884        31.7336438862         1.5746282269 
        0.4900000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.4950000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.5000000000         2.5000000000         1.2080007824        31.4680462987         1.5618175245 
        0.5050089000         2.5000000000         1.2080007824        31.4680462987         1.5618175245 
        0.5100000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.5150000000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
        0.5200000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.5250000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.5300000000         2.5000000000         1.2029028795        31.3352475050         1.5554121732 
        0.5350000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.5400000000         2.5000000000         1.2029028795        31.3352475050         1.5586148488 
        0.5450000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.5500000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.5550000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.5600000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.5650000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.5700000000         2.5000000000         1.2029028795        31.3352475050         1.5650202001 
        0.5750000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.5800001000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.5850000000         2.5000000000         1.2054518309        31.4016469019         1.5618175245 
        0.5900000000         2.5000000000         1.2207455399        31.8000432831         1.5618175245 
        0.5950000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.6000000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.6050000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.6100000000         2.5000000000         1.2181965884        31.7336438862         1.5650202001 
        0.6150000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.6200000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.6250000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.6300000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
