           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        1.2800001000         7.8934902515         1.3405462597         3.3264769844         1.3408329078 
        1.2850609000         7.9863487798         1.3176056963         2.7288824125         1.3536436102 
        1.2900000000         7.9922634774         1.3660357746         3.9904709531         1.3728596638 
        1.2950000000         7.9129505022         1.3354483567         3.1936781906         1.3888730418 
        1.3000018000         7.7485910305         1.3379973082         3.2600775875         1.4048864199 
        1.3050000000         7.5011719944         1.3430952112         3.3928763812         1.4112917711 
        1.3100000000         7.1731282943         1.3456441627         3.4592757781         1.4401158515 
        1.3150000000         6.7680568453         1.3227035993         2.8616812063         1.4465212027 
        1.3200000000         6.2903074571         1.3456441627         3.4592757781         1.4625345807 
        1.3250000000         5.7450103821         1.3430952112         3.3928763812         1.4881559856 
        1.3300000000         5.1380212254         1.3328994052         3.1272787938         1.5041693636 
        1.3350000000         4.4758580648         1.3430952112         3.3928763812         1.5169800660 
        1.3400000000         3.7656314573         1.3278015023         2.9944800000         1.5393987952 
        1.3450000000         3.0149680833         1.3176056963         2.7288824125         1.5490068220 
        1.3500000000         2.2319288483         1.3099588419         2.5296842219         1.5586148488 
        1.3550000000         1.4249223221         1.2997630359         2.2640866345         1.5618175245 
        1.3600000000         0.6026144442         1.3048609389         2.3968854282         1.5938442805 
        1.3650000000        -0.2261645342         1.2997630359         2.2640866345         1.5938442805 
        1.3700000000        -1.0525148727         1.2946651330         2.1312878407         1.6098576585 
        1.3750002000        -1.8675951700         1.2589798122         1.2016962845         1.6226683609 
        1.3804775000        -2.7371149921         1.2080007824        -0.1262916528         1.6066549829 
        1.3850001000        -3.4289732571         1.2003539280        -0.3254898435         1.6098576585 
        1.3900000000        -4.1585387410         1.2105497339        -0.0598922560         1.6034523073 
        1.3953165000        -4.8851430498         1.2232944913         0.2721047284         1.6226683609 
        1.4000001000        -5.4763889395         1.2080007824        -0.1262916528         1.6130603341 
        1.4050001000        -6.0504938940         1.2156476369         0.0729065378         1.6226683609 
        1.4100000000        -6.5596168746         1.1238853834        -2.3174717495         1.5938442805 
        1.4150000000        -6.9983110747         1.1111406260        -2.6494687339         1.5842362537 
        1.4200000000        -7.3618547789         1.1417280438        -1.8526759714         1.5842362537 
        1.4250000000        -7.6463441184         1.1264343349        -2.2510723527         1.5810335781 
        1.4300001000        -7.8487273496         1.1034937715        -2.8486669245         1.5522094976 
        1.4350000000        -7.9668216096         1.1111406260        -2.6494687339         1.5458041464 
        1.4400000000        -7.9993683536         1.0958469171        -3.0478651151         1.5426014708 
        1.4450000000        -7.9460148723         1.1111406260        -2.6494687339         1.5233854172 
        1.4500000000        -7.8073340955         1.0907490141        -3.1806639088         1.4977640124 
        1.4550000000        -7.5848152295         1.0983958685        -2.9814657182         1.5009666880 
        1.4600000000        -7.2808477655         1.0805532081        -3.4462614963         1.4785479588 
        1.4650000000        -6.8986958205         1.1213364319        -2.3838711464         1.4753452831 
        1.4700000000        -6.4424630857         1.0576126448        -4.0438560681         1.4433185271 
        1.4750000000        -5.9170487598         1.1060427230        -2.7822675276         1.4369131759 
        1.4800000000        -5.3280949395         1.0780042567        -3.5126608932         1.4048864199 
        1.4850120000        -4.6803118594         1.1085916745        -2.7158681308         1.3984810687 
        1.4900000000        -3.9854808427         1.0856511111        -3.3134627026         1.3824676906 
        1.4950000000        -3.2462380613         1.0932979656        -3.1142645120         1.3728596638 
        1.5000000000        -2.4721359550         1.0856511111        -3.3134627026         1.3504409346 
        1.5050000000        -1.6714871232         1.1085916745        -2.7158681308         1.3440355834 
        1.5100001000        -0.8528727408         1.0907490141        -3.1806639088         1.3280222054 
        1.5150000000        -0.0251326999         1.1136895775        -2.5830693370         1.3152115030 
        1.5200001000         0.8029102229         1.1034937715        -2.8486669245         1.2895900981 
        1.5250000000         1.6222983629         1.1289832864        -2.1846729558         1.2799820713 
        1.5300001000         2.4242979650         1.1825112676        -0.7902856215         1.2831847469 
        1.5350000000         3.2002330979         1.2105497339        -0.0598922560         1.2735767201 
        1.5400001000         3.9418331669         1.2283923943         0.4049035221         1.2735767201 
        1.5450000000         4.6410756351         1.2105497339        -0.0598922560         1.2735767201 
